ID,Age,Occupation,Gender,Education Level,Country,How often do you use AI tools?,AI_Use_List,Do you feel more productive when using AI tools?,Do you believe overuse of AI can negatively affect mental health or problem-solving skills?,Do you know someone that use AI as  conversational partner?, Creative writing or art, Entertainment, Others, Social media content, Work/professional tasks,Don't use,Entertainment,Inspiration for work,Others,Studying or learning,Work/professional tasks
0,25-34,Analyst,Female,Master’s Degree,Germany,Daily,['Studying or learning'],Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,1,0
1,25-34,Lead Project Coordinator at A University,Male,Master’s Degree,Spain,Daily,['Work/professional tasks'],Yes,Yes,No,0,0,0,0,0,0,0,0,0,0,1
2,25-34,Unemployed,Female,Bachelor’s Degree,Spain,Several times a week,['Studying or learning'],Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,1,0
3,18-24,Game Writer,Female,Bachelor’s Degree,Australia,Rarely,['Inspiration for work'],Yes,Yes,No,0,0,0,0,0,0,0,1,0,0,0
4,18-24,Freelance artist,Trans,Bachelor’s Degree,Canada,Never,"[""Don't use""]",No,Yes,No,0,0,0,0,0,1,0,0,0,0,0
5,25-34,3D Environment artist (videogames),Female,Bachelor’s Degree,Spain,Daily,['Studying or learning'],Yes,Yes,No,0,0,0,0,0,0,0,0,0,1,0
6,25-34,Engineer software,Male,Master’s Degree,Spain,Several times a week,['Work/professional tasks'],Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0,1
7,25-34,Business Development Analyst,Female,Master’s Degree,Brazil,Daily,['Studying or learning'],Yes,Yes,No,0,0,0,0,0,0,0,0,0,1,0
8,25-34,Teacher,Female,Bachelor’s Degree,Australia,Several times a week,['Work/professional tasks'],Yes,No,No,0,0,0,0,0,0,0,0,0,0,1
9,-18,Student,Male,High School,Spain,Several times a week,"['Studying or learning', ' Work/professional tasks']",No,No,No,0,0,0,0,1,0,0,0,0,1,0
10,25-34,Real Estate,Male,Master’s Degree,Andorra,Daily,['Work/professional tasks'],Si,No,No,0,0,0,0,0,0,0,0,0,0,1
11,65 +,Retiree,Female,Bachelor’s Degree,Spain,Daily,['Entertainment'],No,Si,Si,0,0,0,0,0,0,1,0,0,0,0
12,35-44,"Autonomous, administrative",Female,Bachelor’s Degree,Spain,Several times a week,"['Work/professional tasks', ' Others']",Si,Si,Si,0,0,1,0,0,0,0,0,0,0,1
13,25-34,Architect,Female,Bachelor’s Degree,Andorra,Several times a week,"['Work/professional tasks', ' Social media content']",Si,Si,No,0,0,0,1,0,0,0,0,0,0,1
14,55-64,Researcher,Male,PhD or higher,Spain,Several times a week,"['Studying or learning', ' Work/professional tasks']",Si,No,No,0,0,0,0,1,0,0,0,0,1,0
15,65 +,CEO,Male,Master’s Degree,Andorra,Several times a week,['Work/professional tasks'],Si,No,No,0,0,0,0,0,0,0,0,0,0,1
