ID,Age,Occupation,Gender,Education Level,Country,How often do you use AI tools?,What do you primarily use AI tools for?,Do you feel more productive when using AI tools?,Do you believe overuse of AI can negatively affect mental health or problem-solving skills?,Do you know someone that use AI as  conversational partner?,I feel more confident in solving problems on my own without AI assistance.,Using AI makes me feel mentally lazy.,Relying on AI helps reduce my stress.,AI tools make me second-guess my own knowledge or decisions.,Its recomendable for people to use AI as conversational partner,What application with AI would you like to exist?
0,25-34,Analyst,Female,Master’s Degree,Germany,Daily,['Studying or learning'],Yes,Yes,Yes,Agree,Disagree,Agree,Agree,Neutral,
1,25-34,Lead Project Coordinator at A University,Male,Master’s Degree,Spain,Daily,['Work/professional tasks'],Yes,Yes,No,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,"I believe that a good scrapper would be ideal. I use lots of excels for data comparispn reasons (i.e. Schools that offer x degree, and/or are located in y country). 

Current LLMs give you some of that but you need to triple check each result, which isnt ideal. "
2,25-34,Unemployed,Female,Bachelor’s Degree,Spain,Several times a week,['Studying or learning'],Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,
3,18-24,Game Writer,Female,Bachelor’s Degree,Australia,Rarely,['Inspiration for work'],Yes,Yes,No,Agree,Disagree,Strongly Agree,Disagree,Agree,One that assists with inventory in warehousing using spacial assistance instead of manual input. Using it for work environments and data collation is more useful to people than art theft and writing theft.
4,18-24,Freelance artist,trans,Bachelor’s Degree,Canada,Never,"[""Don't use""]",No,Yes,No,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,
5,25-34,3D Environment artist (videogames),Female,Bachelor’s Degree,Spain,Daily,['Studying or learning'],Yes,Yes,No,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,"Personally, I use it to debate and explore new philosophical and political ideas. I believe that before continuing to create more AI tools, we should educate ourselves to rethink the methodology (why the hell AI is being forbiden in schoosl!? It's such a nice tool!!!). Technology moves faster than our education, our laws, and our ability to change society."
6,25-34,Engineer software,Male,Master’s Degree,Spain,Several times a week,['Work/professional tasks'],Yes,Yes,Yes,Agree,Neutral,Neutral,Strongly Disagree,Neutral,"I use AI as glorified documentation while programming and as a helper while learning russian or studying mathematics or chemistry.

It's useful as a first step before browsing the web for deeper information. Or as a way to compare code with other sources.

Further development in these areas would be nice."
7,25-34,Business Development Analyst,Female,Master’s Degree,Brazil,Daily,['Studying or learning'],Yes,Yes,No,Disagree,Disagree,Neutral,Neutral,Neutral,
8,25-34,Teacher,Female,Bachelor’s Degree,Australia,Several times a week,['Work/professional tasks'],Yes,No,No,Strongly Agree,Neutral,Agree,Neutral,Agree,happy with what AI does now
9,-18,Student,Male,High School,Spain,Several times a week,"['Studying or learning', ' Work/professional tasks']",No,No,No,Agree,Agree,Agree,Neutral,Neutral,para las matematicas
10,25-34,Real Estate,Male,Master’s Degree,Andorra,Daily,['Work/professional tasks'],Yes,No,No,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Resumir leyes correctamente
11,65 +,Retiree,Female,Bachelor’s Degree,Spain,Daily,['Entertainment'],No,Yes,Yes,Agree,Agree,Neutral,Agree,Strongly Disagree,
